family,n_vars,stage,prefixes,semantic_classes,slw_bits,semantic_rank,accept_prefixes,reject_prefixes,boundary_prefixes,boundary_fraction,future_table_bits,runtime_ms,raw_state_bits,E,R,S,T
cycle_graph_n4,4,0,1,1,0,1,0,0,1,1.0,16,0.08756200031712069,0,0.0,0.0,0.0,1.0
cycle_graph_n4,4,1,2,2,1,2,0,0,2,1.0,16,0.09859800002232078,2,1.0,1.0,2.0,2.0
cycle_graph_n4,4,2,4,4,2,3,0,1,3,0.75,16,0.045308000153454486,8,2.0,2.0,4.0,2.807354922057604
cycle_graph_n4,4,3,8,3,2,2,2,3,3,0.375,16,0.032328999623132404,24,1.584962500721156,3.0,3.169925001442312,2.584962500721156
cycle_graph_n4,4,4,16,2,1,1,7,9,0,0.0,16,0.03849800032185158,64,1.0,4.0,2.0,1.0
horn_chain_n4,4,0,1,1,0,1,0,0,1,1.0,16,0.0579269999434473,0,0.0,0.0,0.0,1.0
horn_chain_n4,4,1,2,2,1,1,0,1,1,0.5,16,0.03217899984520045,2,1.0,1.0,2.0,1.584962500721156
horn_chain_n4,4,2,4,2,1,1,0,3,1,0.25,16,0.02448699979140656,8,1.0,2.0,2.0,1.584962500721156
horn_chain_n4,4,3,8,2,1,1,0,7,1,0.125,16,0.16393600026276545,24,1.0,3.0,2.0,1.584962500721156
horn_chain_n4,4,4,16,2,1,1,1,15,0,0.0,16,0.03180799967594794,64,1.0,4.0,2.0,1.0
random2_n4_s1004,4,0,1,1,0,0,0,1,0,0.0,16,0.031066999781614868,0,0.0,0.0,0.0,0.0
random2_n4_s1004,4,1,2,1,0,0,0,2,0,0.0,16,0.023305000013351673,2,0.0,1.0,0.0,0.0
random2_n4_s1004,4,2,4,1,0,0,0,4,0,0.0,16,0.021752000066044275,8,0.0,2.0,0.0,0.0
random2_n4_s1004,4,3,8,1,0,0,0,8,0,0.0,16,0.02321500005564303,24,0.0,3.0,0.0,0.0
random2_n4_s1004,4,4,16,1,0,0,0,16,0,0.0,16,0.02748199995039613,64,0.0,4.0,0.0,0.0
cycle_graph_n6,6,0,1,1,0,1,0,0,1,1.0,64,0.0820529999145947,0,0.0,0.0,0.0,1.0
cycle_graph_n6,6,1,2,2,1,2,0,0,2,1.0,64,0.08999500005302252,2,1.0,1.0,2.0,2.0
cycle_graph_n6,6,2,4,4,2,3,0,1,3,0.75,64,0.09237899985237163,8,2.0,2.0,4.0,2.807354922057604
cycle_graph_n6,6,3,8,5,3,4,0,3,5,0.625,64,0.09093599965126486,24,2.321928094887362,3.0,4.643856189774724,3.321928094887362
cycle_graph_n6,6,4,16,5,3,3,0,8,8,0.5,64,0.09215899990522303,64,2.321928094887362,4.0,4.643856189774724,3.700439718141092
cycle_graph_n6,6,5,32,3,2,2,5,19,8,0.25,64,0.09257900001102826,160,1.584962500721156,5.0,3.169925001442312,3.4594316186372973
cycle_graph_n6,6,6,64,2,1,1,18,46,0,0.0,64,0.11091600026702508,384,1.0,6.0,2.0,1.0
horn_chain_n6,6,0,1,1,0,1,0,0,1,1.0,64,0.09214800002155243,0,0.0,0.0,0.0,1.0
horn_chain_n6,6,1,2,2,1,1,0,1,1,0.5,64,0.06856300024082884,2,1.0,1.0,2.0,1.584962500721156
horn_chain_n6,6,2,4,2,1,1,0,3,1,0.25,64,0.05942999996477738,8,1.0,2.0,2.0,1.584962500721156
horn_chain_n6,6,3,8,2,1,1,0,7,1,0.125,64,0.06860299981781282,24,1.0,3.0,2.0,1.584962500721156
horn_chain_n6,6,4,16,2,1,1,0,15,1,0.0625,64,0.13356099998418358,64,1.0,4.0,2.0,1.584962500721156
horn_chain_n6,6,5,32,2,1,1,0,31,1,0.03125,64,0.07084699973347597,160,1.0,5.0,2.0,1.584962500721156
horn_chain_n6,6,6,64,2,1,1,1,63,0,0.0,64,0.09014499983095448,384,1.0,6.0,2.0,1.0
random2_n6_s1006,6,0,1,1,0,0,0,1,0,0.0,64,0.09331000001111533,0,0.0,0.0,0.0,0.0
random2_n6_s1006,6,1,2,1,0,0,0,2,0,0.0,64,0.12193300017315778,2,0.0,1.0,0.0,0.0
random2_n6_s1006,6,2,4,1,0,0,0,4,0,0.0,64,0.07670500008316594,8,0.0,2.0,0.0,0.0
random2_n6_s1006,6,3,8,1,0,0,0,8,0,0.0,64,0.07588400012537022,24,0.0,3.0,0.0,0.0
random2_n6_s1006,6,4,16,1,0,0,0,16,0,0.0,64,0.12289500000406406,64,0.0,4.0,0.0,0.0
random2_n6_s1006,6,5,32,1,0,0,0,32,0,0.0,64,0.08988499985207454,160,0.0,5.0,0.0,0.0
random2_n6_s1006,6,6,64,1,0,0,0,64,0,0.0,64,0.10642000006555463,384,0.0,6.0,0.0,0.0
cycle_graph_n8,8,0,1,1,0,1,0,0,1,1.0,256,0.3276329998698202,0,0.0,0.0,0.0,1.0
cycle_graph_n8,8,1,2,2,1,2,0,0,2,1.0,256,0.41263000002800254,2,1.0,1.0,2.0,2.0
cycle_graph_n8,8,2,4,4,2,3,0,1,3,0.75,256,0.3177879998474964,8,2.0,2.0,4.0,2.807354922057604
cycle_graph_n8,8,3,8,5,3,4,0,3,5,0.625,256,0.3501360001791909,24,2.321928094887362,3.0,4.643856189774724,3.321928094887362
cycle_graph_n8,8,4,16,5,3,4,0,8,8,0.5,256,0.37554400023509515,64,2.321928094887362,4.0,4.643856189774724,3.700439718141092
cycle_graph_n8,8,5,32,5,3,4,0,19,13,0.40625,256,0.3142519999528304,160,2.321928094887362,5.0,4.643856189774724,4.169925001442312
cycle_graph_n8,8,6,64,5,3,3,0,43,21,0.328125,256,0.3662599997369398,384,2.321928094887362,6.0,4.643856189774724,4.700439718141092
cycle_graph_n8,8,7,128,3,2,2,13,94,21,0.1640625,256,0.3668609997475869,896,1.584962500721156,7.0,3.169925001442312,4.584962500721156
cycle_graph_n8,8,8,256,2,1,1,47,209,0,0.0,256,0.5364560001908103,2048,1.0,8.0,2.0,1.0
horn_chain_n8,8,0,1,1,0,1,0,0,1,1.0,256,0.23538400000688853,0,0.0,0.0,0.0,1.0
horn_chain_n8,8,1,2,2,1,1,0,1,1,0.5,256,0.22422699976232252,2,1.0,1.0,2.0,1.584962500721156
horn_chain_n8,8,2,4,2,1,1,0,3,1,0.25,256,0.25124800004050485,8,1.0,2.0,2.0,1.584962500721156
horn_chain_n8,8,3,8,2,1,1,0,7,1,0.125,256,0.1887340004032012,24,1.0,3.0,2.0,1.584962500721156
horn_chain_n8,8,4,16,2,1,1,0,15,1,0.0625,256,0.1876719998108456,64,1.0,4.0,2.0,1.584962500721156
horn_chain_n8,8,5,32,2,1,1,0,31,1,0.03125,256,0.1959450000867946,160,1.0,5.0,2.0,1.584962500721156
horn_chain_n8,8,6,64,2,1,1,0,63,1,0.015625,256,0.23085599968908355,384,1.0,6.0,2.0,1.584962500721156
horn_chain_n8,8,7,128,2,1,1,0,127,1,0.0078125,256,0.254463000146643,896,1.0,7.0,2.0,1.584962500721156
horn_chain_n8,8,8,256,2,1,1,1,255,0,0.0,256,0.3286740002295119,2048,1.0,8.0,2.0,1.0
random2_n8_s1008,8,0,1,1,0,1,0,0,1,1.0,256,0.329295000028651,0,0.0,0.0,0.0,1.0
random2_n8_s1008,8,1,2,2,1,2,0,0,2,1.0,256,0.30691099982504966,2,1.0,1.0,2.0,2.0
random2_n8_s1008,8,2,4,2,1,1,0,2,2,0.5,256,0.29352100000323844,8,1.0,2.0,2.0,2.0
random2_n8_s1008,8,3,8,3,2,2,0,4,4,0.5,256,0.3099059999840392,24,1.584962500721156,3.0,3.169925001442312,2.807354922057604
random2_n8_s1008,8,4,16,3,2,2,0,12,4,0.25,256,0.3162650000376743,64,1.584962500721156,4.0,3.169925001442312,2.807354922057604
random2_n8_s1008,8,5,32,3,2,2,0,26,6,0.1875,256,0.2952239997284778,160,1.584962500721156,5.0,3.169925001442312,3.169925001442312
random2_n8_s1008,8,6,64,3,2,2,0,58,6,0.09375,256,0.33018600015566335,384,1.584962500721156,6.0,3.169925001442312,3.169925001442312
random2_n8_s1008,8,7,128,2,1,1,0,122,6,0.046875,256,0.3557850000106555,896,1.0,7.0,2.0,3.0
random2_n8_s1008,8,8,256,2,1,1,6,250,0,0.0,256,0.45132799959901604,2048,1.0,8.0,2.0,1.0
cycle_graph_n10,10,0,1,1,0,1,0,0,1,1.0,1024,1.2411850002536085,0,0.0,0.0,0.0,1.0
cycle_graph_n10,10,1,2,2,1,2,0,0,2,1.0,1024,1.3015459999223822,2,1.0,1.0,2.0,2.0
cycle_graph_n10,10,2,4,4,2,3,0,1,3,0.75,1024,1.28688399991006,8,2.0,2.0,4.0,2.807354922057604
cycle_graph_n10,10,3,8,5,3,4,0,3,5,0.625,1024,1.2381900000946189,24,2.321928094887362,3.0,4.643856189774724,3.321928094887362
cycle_graph_n10,10,4,16,5,3,4,0,8,8,0.5,1024,1.3378999997257779,64,2.321928094887362,4.0,4.643856189774724,3.700439718141092
cycle_graph_n10,10,5,32,5,3,4,0,19,13,0.40625,1024,1.2465929999052605,160,2.321928094887362,5.0,4.643856189774724,4.169925001442312
cycle_graph_n10,10,6,64,5,3,4,0,43,21,0.328125,1024,1.315996999892377,384,2.321928094887362,6.0,4.643856189774724,4.700439718141092
cycle_graph_n10,10,7,128,5,3,4,0,94,34,0.265625,1024,1.3628669998979603,896,2.321928094887362,7.0,4.643856189774724,5.285402218862249
cycle_graph_n10,10,8,256,5,3,3,0,201,55,0.21484375,1024,1.3436590002129378,2048,2.321928094887362,8.0,4.643856189774724,5.906890595608519
cycle_graph_n10,10,9,512,3,2,2,34,423,55,0.107421875,1024,1.510349000000133,4608,1.584962500721156,9.0,3.169925001442312,5.857980995127572
cycle_graph_n10,10,10,1024,2,1,1,123,901,0,0.0,1024,1.8434590001561446,10240,1.0,10.0,2.0,1.0
horn_chain_n10,10,0,1,1,0,1,0,0,1,1.0,1024,1.0675529997570266,0,0.0,0.0,0.0,1.0
horn_chain_n10,10,1,2,2,1,1,0,1,1,0.5,1024,0.8791010000095412,2,1.0,1.0,2.0,1.584962500721156
horn_chain_n10,10,2,4,2,1,1,0,3,1,0.25,1024,0.8094859999800974,8,1.0,2.0,2.0,1.584962500721156
horn_chain_n10,10,3,8,2,1,1,0,7,1,0.125,1024,0.7377490001090337,24,1.0,3.0,2.0,1.584962500721156
horn_chain_n10,10,4,16,2,1,1,0,15,1,0.0625,1024,0.6973980002840108,64,1.0,4.0,2.0,1.584962500721156
horn_chain_n10,10,5,32,2,1,1,0,31,1,0.03125,1024,0.7172380001065903,160,1.0,5.0,2.0,1.584962500721156
