family,n_vars,max_classes,max_slw,max_rank,max_boundary,total_runtime_ms
cycle_graph_n10,10,5,3,4,55,15.02862899997126
cycle_graph_n4,4,4,2,3,3,0.30229500043787993
cycle_graph_n6,6,5,3,4,8,0.6510169996545301
cycle_graph_n8,8,5,3,4,21,3.3675599997877725
horn_chain_n10,10,2,1,1,1,9.612288999960583
horn_chain_n4,4,2,1,1,1,0.3103369995187677
horn_chain_n6,6,2,1,1,1,0.5832969995935855
horn_chain_n8,8,2,1,1,1,2.0972030001757958
php_3_2,6,1,0,0,0,0.6071519997021824
php_4_3,12,1,0,0,0,78.39480199982063
planted3_n10_s4011,10,6,3,5,10,23.228355000355805
planted3_n10_s4029,10,7,3,5,10,26.255593000314548
planted3_n10_s4047,10,4,2,3,3,23.23895099971196
planted3_n4_s3411,4,2,1,1,1,0.22365500080923084
planted3_n4_s3429,4,3,2,2,4,0.27148700019097305
planted3_n4_s3447,4,3,2,2,2,0.22965400012253667
planted3_n6_s3611,6,3,2,2,2,1.0451200000716199
planted3_n6_s3629,6,5,3,4,6,1.0511989994483883
planted3_n6_s3647,6,3,2,2,5,1.2561969997477718
planted3_n8_s3811,8,2,1,1,2,5.490606999501324
planted3_n8_s3829,8,5,3,3,6,5.416115999651083
planted3_n8_s3847,8,4,2,3,4,5.729668999720161
random2_n10_s1010,10,1,0,0,0,14.645283000390918
random2_n4_s1004,4,1,0,0,0,0.12682099986704998
random2_n6_s1006,6,1,0,0,0,0.6870320003145025
random2_n8_s1008,8,3,2,2,6,2.9884209993724653
random3_n10_s3011,10,4,2,3,5,25.074058001337107
random3_n10_s3029,10,3,2,2,3,25.045214000328997
random3_n10_s3047,10,2,1,1,1,27.309726999646955
random3_n4_s2411,4,2,1,1,1,0.20419800011950429
random3_n4_s2429,4,2,1,1,1,0.1998989996536693
random3_n4_s2447,4,2,1,1,1,0.22073200034355978
random3_n6_s2611,6,2,1,1,1,1.1559169997781282
random3_n6_s2629,6,3,2,2,4,1.0257610001644935
random3_n6_s2647,6,4,2,3,5,1.2470240003494837
random3_n8_s2811,8,3,2,2,2,5.150078000042413
random3_n8_s2829,8,6,3,4,7,5.069143999662629
random3_n8_s2847,8,2,1,1,1,5.965018001006683
tseitin_cubic_v4_odd,6,1,0,0,0,0.9137219999502122
tseitin_cubic_v6_odd,9,1,0,0,0,9.70225599985497
tseitin_cubic_v8_odd,12,1,0,0,0,80.3523309996308
xor_chain_inputs3,5,3,2,2,4,0.3803009999501228
xor_chain_inputs4,7,5,3,4,8,1.9127839991597284
xor_chain_inputs5,9,9,4,8,16,9.471277000102418
xor_chain_inputs6,11,17,5,16,32,40.40003299996897
