family,n_vars,max_classes,max_slw,max_rank,max_boundary,total_runtime_ms
cycle_graph_n10,10,5,3,4,55,15.02862899997126
horn_chain_n10,10,2,1,1,1,9.612288999960583
php_3_2,6,1,0,0,0,0.6071519997021824
php_4_3,12,1,0,0,0,78.39480199982063
random3_n10_s3011,10,4,2,3,5,25.074058001337107
random3_n10_s3029,10,3,2,2,3,25.045214000328997
random3_n10_s3047,10,2,1,1,1,27.309726999646955
tseitin_cubic_v4_odd,6,1,0,0,0,0.9137219999502122
tseitin_cubic_v6_odd,9,1,0,0,0,9.70225599985497
tseitin_cubic_v8_odd,12,1,0,0,0,80.3523309996308
xor_chain_inputs3,5,3,2,2,4,0.3803009999501228
xor_chain_inputs4,7,5,3,4,8,1.9127839991597284
xor_chain_inputs5,9,9,4,8,16,9.471277000102418
xor_chain_inputs6,11,17,5,16,32,40.40003299996897
