n_vars,n_clauses,horn,two_sat,mean_width,max_width,polarity_balance,max_occ,mean_occ,family,selected_route,certificate,certified_tractable
4,4,0,1,2.0,2,1.0,2,2.0,cycle_graph_n4,2-SAT,clause-width check,1
4,4,1,1,1.75,2,0.14285714285714285,2,1.75,horn_chain_n4,Horn,syntactic Horn check,1
4,8,0,1,2.0,2,0.125,7,4.0,random2_n4_s1004,2-SAT,clause-width check,1
6,6,0,1,2.0,2,1.0,2,2.0,cycle_graph_n6,2-SAT,clause-width check,1
6,6,1,1,1.8333333333333333,2,0.09090909090909091,2,1.8333333333333333,horn_chain_n6,Horn,syntactic Horn check,1
6,12,0,1,2.0,2,0.08333333333333333,6,4.0,random2_n6_s1006,2-SAT,clause-width check,1
8,8,0,1,2.0,2,1.0,2,2.0,cycle_graph_n8,2-SAT,clause-width check,1
8,8,1,1,1.875,2,0.06666666666666667,2,1.875,horn_chain_n8,Horn,syntactic Horn check,1
8,16,0,1,2.0,2,0.125,6,4.0,random2_n8_s1008,2-SAT,clause-width check,1
10,10,0,1,2.0,2,1.0,2,2.0,cycle_graph_n10,2-SAT,clause-width check,1
10,10,1,1,1.9,2,0.05263157894736842,2,1.9,horn_chain_n10,Horn,syntactic Horn check,1
10,20,0,1,2.0,2,0.05,7,4.0,random2_n10_s1010,2-SAT,clause-width check,1
4,17,0,0,3.0,3,0.17647058823529413,15,12.75,random3_n4_s2411,Generic-CNF,none,0
4,17,0,0,3.0,3,0.058823529411764705,14,12.75,planted3_n4_s3411,Generic-CNF,none,0
4,17,0,0,3.0,3,0.09803921568627451,15,12.75,random3_n4_s2429,Generic-CNF,none,0
4,17,0,0,3.0,3,0.2549019607843137,13,12.75,planted3_n4_s3429,Generic-CNF,none,0
4,17,0,0,3.0,3,0.2549019607843137,14,12.75,random3_n4_s2447,Generic-CNF,none,0
4,17,0,0,3.0,3,0.09803921568627451,16,12.75,planted3_n4_s3447,Generic-CNF,none,0
6,25,0,0,3.0,3,0.17333333333333334,18,12.5,random3_n6_s2611,Generic-CNF,none,0
6,25,0,0,3.0,3,0.12,15,12.5,planted3_n6_s3611,Generic-CNF,none,0
6,25,0,0,3.0,3,0.14666666666666667,14,12.5,random3_n6_s2629,Generic-CNF,none,0
6,25,0,0,3.0,3,0.22666666666666666,15,12.5,planted3_n6_s3629,Generic-CNF,none,0
6,25,0,0,3.0,3,0.12,16,12.5,random3_n6_s2647,Generic-CNF,none,0
6,25,0,0,3.0,3,0.12,16,12.5,planted3_n6_s3647,Generic-CNF,none,0
8,34,0,0,3.0,3,0.0,16,12.75,random3_n8_s2811,Generic-CNF,none,0
8,34,0,0,3.0,3,0.0196078431372549,18,12.75,planted3_n8_s3811,Generic-CNF,none,0
8,34,0,0,3.0,3,0.09803921568627451,18,12.75,random3_n8_s2829,Generic-CNF,none,0
8,34,0,0,3.0,3,0.11764705882352941,16,12.75,planted3_n8_s3829,Generic-CNF,none,0
8,34,0,0,3.0,3,0.0784313725490196,20,12.75,random3_n8_s2847,Generic-CNF,none,0
8,34,0,0,3.0,3,0.058823529411764705,16,12.75,planted3_n8_s3847,Generic-CNF,none,0
10,42,0,0,3.0,3,0.06349206349206349,19,12.6,random3_n10_s3011,Generic-CNF,none,0
10,42,0,0,3.0,3,0.14285714285714285,17,12.6,planted3_n10_s4011,Generic-CNF,none,0
10,42,0,0,3.0,3,0.06349206349206349,18,12.6,random3_n10_s3029,Generic-CNF,none,0
10,42,0,0,3.0,3,0.07936507936507936,16,12.6,planted3_n10_s4029,Generic-CNF,none,0
10,42,0,0,3.0,3,0.015873015873015872,18,12.6,random3_n10_s3047,Generic-CNF,none,0
10,42,0,0,3.0,3,0.07936507936507936,18,12.6,planted3_n10_s4047,Generic-CNF,none,0
5,9,0,0,2.7777777777777777,3,0.04,8,5.0,xor_chain_inputs3,Affine-origin,generator provenance,1
7,13,0,0,2.8461538461538463,3,0.02702702702702703,8,5.285714285714286,xor_chain_inputs4,Affine-origin,generator provenance,1
9,17,0,0,2.8823529411764706,3,0.02040816326530612,8,5.444444444444445,xor_chain_inputs5,Affine-origin,generator provenance,1
11,21,0,0,2.9047619047619047,3,0.01639344262295082,8,5.545454545454546,xor_chain_inputs6,Affine-origin,generator provenance,1
6,9,0,1,2.0,2,0.3333333333333333,3,3.0,php_3_2,2-SAT,clause-width check,1
12,22,0,0,2.1818181818181817,3,0.5,4,4.0,php_4_3,Generic-CNF,none,0
6,16,0,0,3.0,3,0.0,8,8.0,tseitin_cubic_v4_odd,Generic-CNF,none,0
9,24,0,0,3.0,3,0.0,8,8.0,tseitin_cubic_v6_odd,Generic-CNF,none,0
12,32,0,0,3.0,3,0.0,8,8.0,tseitin_cubic_v8_odd,Generic-CNF,none,0
