family,n_vars,stage,semantic_classes,slw_bits,semantic_rank,boundary_fraction,runtime_ms
cycle_graph_n4,4,0,1,0,1,1.0,0.08756200031712069
cycle_graph_n4,4,2,4,2,3,0.75,0.045308000153454486
cycle_graph_n4,4,4,2,1,1,0.0,0.03849800032185158
horn_chain_n4,4,0,1,0,1,1.0,0.0579269999434473
horn_chain_n4,4,2,2,1,1,0.25,0.02448699979140656
horn_chain_n4,4,4,2,1,1,0.0,0.03180799967594794
random2_n4_s1004,4,0,1,0,0,0.0,0.031066999781614868
random2_n4_s1004,4,2,1,0,0,0.0,0.021752000066044275
random2_n4_s1004,4,4,1,0,0,0.0,0.02748199995039613
cycle_graph_n6,6,0,1,0,1,1.0,0.0820529999145947
cycle_graph_n6,6,2,4,2,3,0.75,0.09237899985237163
cycle_graph_n6,6,4,5,3,3,0.5,0.09215899990522303
cycle_graph_n6,6,6,2,1,1,0.0,0.11091600026702508
horn_chain_n6,6,0,1,0,1,1.0,0.09214800002155243
horn_chain_n6,6,2,2,1,1,0.25,0.05942999996477738
horn_chain_n6,6,4,2,1,1,0.0625,0.13356099998418358
horn_chain_n6,6,6,2,1,1,0.0,0.09014499983095448
random2_n6_s1006,6,0,1,0,0,0.0,0.09331000001111533
random2_n6_s1006,6,2,1,0,0,0.0,0.07670500008316594
random2_n6_s1006,6,4,1,0,0,0.0,0.12289500000406406
random2_n6_s1006,6,6,1,0,0,0.0,0.10642000006555463
cycle_graph_n8,8,0,1,0,1,1.0,0.3276329998698202
cycle_graph_n8,8,2,4,2,3,0.75,0.3177879998474964
cycle_graph_n8,8,4,5,3,4,0.5,0.37554400023509515
cycle_graph_n8,8,6,5,3,3,0.328125,0.3662599997369398
cycle_graph_n8,8,8,2,1,1,0.0,0.5364560001908103
horn_chain_n8,8,0,1,0,1,1.0,0.23538400000688853
horn_chain_n8,8,2,2,1,1,0.25,0.25124800004050485
horn_chain_n8,8,4,2,1,1,0.0625,0.1876719998108456
horn_chain_n8,8,6,2,1,1,0.015625,0.23085599968908355
horn_chain_n8,8,8,2,1,1,0.0,0.3286740002295119
random2_n8_s1008,8,0,1,0,1,1.0,0.329295000028651
random2_n8_s1008,8,2,2,1,1,0.5,0.29352100000323844
random2_n8_s1008,8,4,3,2,2,0.25,0.3162650000376743
random2_n8_s1008,8,6,3,2,2,0.09375,0.33018600015566335
random2_n8_s1008,8,8,2,1,1,0.0,0.45132799959901604
cycle_graph_n10,10,0,1,0,1,1.0,1.2411850002536085
cycle_graph_n10,10,2,4,2,3,0.75,1.28688399991006
cycle_graph_n10,10,4,5,3,4,0.5,1.3378999997257779
cycle_graph_n10,10,6,5,3,4,0.328125,1.315996999892377
cycle_graph_n10,10,8,5,3,3,0.21484375,1.3436590002129378
cycle_graph_n10,10,10,2,1,1,0.0,1.8434590001561446
horn_chain_n10,10,0,1,0,1,1.0,1.0675529997570266
horn_chain_n10,10,2,2,1,1,0.25,0.8094859999800974
horn_chain_n10,10,4,2,1,1,0.0625,0.6973980002840108
horn_chain_n10,10,6,2,1,1,0.015625,0.7294449997061747
horn_chain_n10,10,8,2,1,1,0.00390625,0.8406329998251749
horn_chain_n10,10,10,2,1,1,0.0,1.3573890000770916
random2_n10_s1010,10,0,1,0,0,0.0,1.3014760002079129
random2_n10_s1010,10,2,1,0,0,0.0,1.0923310001089703
random2_n10_s1010,10,4,1,0,0,0.0,1.1262120001447329
random2_n10_s1010,10,6,1,0,0,0.0,1.0703880002438382
random2_n10_s1010,10,8,1,0,0,0.0,1.180793999992602
random2_n10_s1010,10,10,1,0,0,0.0,2.8899210001327447
random3_n4_s2411,4,0,1,0,1,1.0,0.04278500000509666
random3_n4_s2411,4,2,2,1,1,0.25,0.0345819998983643
random3_n4_s2411,4,4,2,1,1,0.0,0.04560900015349034
planted3_n4_s3411,4,0,1,0,1,1.0,0.04571900035443832
planted3_n4_s3411,4,2,2,1,1,0.25,0.04499700025917264
planted3_n4_s3411,4,4,2,1,1,0.0,0.048552999942330644
random3_n4_s2429,4,0,1,0,1,1.0,0.039848999676905805
random3_n4_s2429,4,2,2,1,1,0.25,0.040219999846158316
random3_n4_s2429,4,4,2,1,1,0.0,0.044056000206182944
planted3_n4_s3429,4,0,1,0,1,1.0,0.04565800009004306
planted3_n4_s3429,4,2,3,2,2,0.75,0.04662000037569669
planted3_n4_s3429,4,4,2,1,1,0.0,0.049854999815579504
random3_n4_s2447,4,0,1,0,1,1.0,0.04488800004764926
random3_n4_s2447,4,2,2,1,1,0.25,0.04099199986740132
random3_n4_s2447,4,4,2,1,1,0.0,0.04772100010086433
planted3_n4_s3447,4,0,1,0,1,1.0,0.04405599975143559
planted3_n4_s3447,4,2,3,2,2,0.5,0.04593900030158693
planted3_n4_s3447,4,4,2,1,1,0.0,0.04966400001649163
random3_n6_s2611,6,0,1,0,1,1.0,0.15647500003979076
random3_n6_s2611,6,2,2,1,1,0.25,0.15325100002883119
random3_n6_s2611,6,4,2,1,1,0.0625,0.15304999988074997
random3_n6_s2611,6,6,2,1,1,0.0,0.18005999982051435
planted3_n6_s3611,6,0,1,0,1,1.0,0.1415030001226114
planted3_n6_s3611,6,2,3,2,2,0.5,0.13903900025979965
planted3_n6_s3611,6,4,3,2,2,0.125,0.14118199987933622
planted3_n6_s3611,6,6,2,1,1,0.0,0.166970999998739
random3_n6_s2629,6,0,1,0,1,1.0,0.13689600018551573
random3_n6_s2629,6,2,3,2,2,0.5,0.14310500000647153
random3_n6_s2629,6,4,3,2,2,0.1875,0.1380180001433473
random3_n6_s2629,6,6,2,1,1,0.0,0.1650280000831117
planted3_n6_s3629,6,0,1,0,1,1.0,0.13385100010054884
planted3_n6_s3629,6,2,4,2,4,1.0,0.1384779998261365
planted3_n6_s3629,6,4,5,3,4,0.3125,0.14961499982746318
planted3_n6_s3629,6,6,2,1,1,0.0,0.16824299973450252
random3_n6_s2647,6,0,1,0,1,1.0,0.1432349999959115
random3_n6_s2647,6,2,4,2,3,0.75,0.15483300012419932
random3_n6_s2647,6,4,3,2,2,0.25,0.17987999990509707
random3_n6_s2647,6,6,2,1,1,0.0,0.20628999982363894
planted3_n6_s3647,6,0,1,0,1,1.0,0.15599400012433762
planted3_n6_s3647,6,2,3,2,2,0.5,0.16289399991364917
planted3_n6_s3647,6,4,3,2,2,0.25,0.1652490000196849
planted3_n6_s3647,6,6,2,1,1,0.0,0.18585899988465826
random3_n8_s2811,8,0,1,0,1,1.0,0.49836900006994256
random3_n8_s2811,8,2,3,2,2,0.5,0.5153340002834739
random3_n8_s2811,8,4,3,2,2,0.125,0.6413040000552428
random3_n8_s2811,8,6,3,2,2,0.03125,0.5548539998017077
random3_n8_s2811,8,8,2,1,1,0.0,0.7376480002676544
planted3_n8_s3811,8,0,1,0,1,1.0,0.6116490003478248
planted3_n8_s3811,8,2,2,1,1,0.25,0.5387589999372722
planted3_n8_s3811,8,4,2,1,1,0.0625,0.7224249998216692
planted3_n8_s3811,8,6,2,1,1,0.03125,0.59884999973292
planted3_n8_s3811,8,8,2,1,1,0.0,0.786610999966797
random3_n8_s2829,8,0,1,0,1,1.0,0.5692750000889646
random3_n8_s2829,8,2,4,2,3,0.75,0.5454399997688597
random3_n8_s2829,8,4,6,3,4,0.3125,0.5694450001101359
random3_n8_s2829,8,6,5,3,3,0.09375,0.5615939999188413
random3_n8_s2829,8,8,2,1,1,0.0,0.6640679998781707
planted3_n8_s3829,8,0,1,0,1,1.0,0.5353440001272247
planted3_n8_s3829,8,2,2,1,1,0.25,0.5297459997564147
planted3_n8_s3829,8,4,4,2,2,0.1875,0.5191899999772431
